Asset no.,Serial No,Product Name
25-252385,"37,507",VGA SPLITTER/MULTIPLIER
25-252615,"46,950",VGA SPLITTER/MULTIPLIER
025-00008247,F3HC-012-0102,VGA SPLITTER FS94A
025-00008249,F3HC-012-0335,VGA SPLITTER FS94A
025-00008327,F31-036-0048,VIDEO SPLITTER VS164 DVI 4 PORT
025-00007335,F3H7-045-0159,VGA SPLITTER FS94A
025-00008311,F31-036-0047,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008325,F31-036-0051,VIDEO SPLITTER VS164 DVI 4 PORT
25-255166,30645,VGA SPLITTER/MULTIPLIER
25-255651,"A-45,200",VGA SPLITTER 4 WAY
25-255654,"A-45,205",VGA SPLITTER 4 WAY
025-00007580,F3HA-039-0497,VGA SPLITTER FS94A
025-00008248,F3HC-012-0104,VGA SPLITTER FS94A
025-00008314,F31-036-0045,VIDEO SPLITTER VS164 DVI 4 PORT
25-253795,82644,VGA SPLITTER/MULTIPLIER
25-255940,A-S4056,VGA SPLITTER/MULTIPLIER
025-00007330,F3H7-045-0151,VGA SPLITTER FS94A
025-00007333,F3H7-045-0157,VGA SPLITTER FS94A
025-00008324,F31-036-0053,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008870,F31-035-0300,VGA SPLITTER FS94A
025-00008878,F31-035-0248,VGA SPLITTER FS94A
025-00008312,F31-036-0046,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008326,F31-036-0054,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008880,F31-035-0070,VGA SPLITTER FS94A
025-00007336,F3H7-045-0160,VGA SPLITTER FS94A
025-00008872,F31-035-0244,VGA SPLITTER FS94A
025-00009451,Z3JB-171-0224,VGA SPLITTER FS94A
025-00010792,Z3MS-084-0020,VGA SPLITTER FS94A
025-00008873,F31-035-0250,VGA SPLITTER FS94A
025-00009465,Z3JB-171-0235,VGA SPLITTER FS94A
025-00010793,Z3MS-084-0002,VGA SPLITTER FS94A
025-00008316,F31-036-0042,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008871,F31-035-0243,VGA SPLITTER FS94A
025-00008245,F3HC-012-0109,VGA SPLITTER FS94A
025-00008318,F31-036-0041,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008322,F31-036-0057,VIDEO SPLITTER VS164 DVI 4 PORT
025-00009459,Z3JB-171-0222,VGA SPLITTER FS94A
25-255167,A-30894,VGA SPLITTER/MULTIPLIER
025-00007327,F3H7-045-0141,VGA SPLITTER FS94A
025-00008313,F31-036-0043,VIDEO SPLITTER VS164 DVI 4 PORT
025-00009666,FA31A-035-0072,VGA SPLITTER FS94A
025-00008242,F3HC-012-0107,VGA SPLITTER FS94A
025-00008874,F31-035-0295,VGA SPLITTER FS94A
25-258610,A83780,VGA SPLITTER/MULTIPLIER
025-00007581,F3HA-039-0494,VGA SPLITTER FS94A
025-00009665,FA31A-035-0069,VGA SPLITTER FS94A
025-00009871,F31A-035-0076,VGA SPLITTER FS94A
025-00007328,F3H7-045-0142,VGA SPLITTER FS94A
025-00009453,Z3JB-171-0221,VGA SPLITTER FS94A
025-00009455,Z3JB-171-0223,VGA SPLITTER FS94A
025-00007578,F3HA-039-0493,VGA SPLITTER FS94A
025-00008243,F3HC-012-0105,VGA SPLITTER FS94A
025-00008876,F31-035-0245,VGA SPLITTER FS94A
025-00009462,Z3JB-171-0236,VGA SPLITTER FS94A
025-00007334,F3H7-045-0158,VGA SPLITTER FS94A
25-272794,A64512,GPS SPLITTER 4 OUTPUTS (TNC FEMALE) S14-TF
25-272795,A64486,GPS SPLITTER 4 OUTPUTS (TNC FEMALE) S14-TF
025-00007579,F3HA-039-0495,VGA SPLITTER FS94A
025-00008323,F31-036-0052,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008879,F31-035-0074,VGA SPLITTER FS94A
025-00009454,Z3JB-171-0226,VGA SPLITTER FS94A
025-00009461,Z3JB-171-0237,VGA SPLITTER FS94A
25-252125,32514,DATA SPLITTER BOX
25-255442,"99,379",VGA SPLITTER/MULTIPLIER
25-252681,"47,820",VGA SPLITTER/MULTIPLIER
25-252534,44294,VGA SPLITTER/MULTIPLIER
25-252535,44291,VGA SPLITTER/MULTIPLIER
25-252567,46187,VGA SPLITTER/MULTIPLIER
25-252568,46193,VGA SPLITTER/MULTIPLIER
25-252384,"37,506",VGA SPLITTER/MULTIPLIER
25-252387,"37,233",VGA SPLITTER/MULTIPLIER
25-253960,"85,142",VGA SPLITTER/MULTIPLIER
25-253961,85144,VGA SPLITTER/MULTIPLIER
25-253962,85141,VGA SPLITTER/MULTIPLIER
25-253963,85138,VGA SPLITTER/MULTIPLIER
25-253964,85140,VGA SPLITTER/MULTIPLIER
25-253966,85139,VGA SPLITTER/MULTIPLIER
25-253967,83112,VGA SPLITTER/MULTIPLIER
25-253787,82649,VGA SPLITTER/MULTIPLIER
25-253794,"82,650",VGA SPLITTER/MULTIPLIER
25-253747,82354,VGA SPLITTER/MULTIPLIER
25-253748,82351,VGA SPLITTER/MULTIPLIER
25-253751,"82,352",VGA SPLITTER/MULTIPLIER
25-253752,82358,VGA SPLITTER/MULTIPLIER
25-253755,"82,349",VGA SPLITTER/MULTIPLIER
25-254141,98096,VGA SPLITTER/MULTIPLIER
25-254424,A-642,VGA SPLITTER/MULTIPLIER
25-254419,A-463,VGA SPLITTER/MULTIPLIER
25-254422,A-569,VGA SPLITTER/MULTIPLIER
25-272336,89882,VGA SPLITTER/MULTIPLIER
25-255094,A-29164,VGA SPLITTER/MULTIPLIER
25-255096,A-29762,VGA SPLITTER/MULTIPLIER
25-255097,A-29761,VGA SPLITTER/MULTIPLIER
25-258607,A83777,VGA SPLITTER/MULTIPLIER
25-258608,A83778,VGA SPLITTER/MULTIPLIER
25-258613,A83783,VGA SPLITTER/MULTIPLIER
25-258614,A83784,VGA SPLITTER/MULTIPLIER
25-258618,A-84161,VGA SPLITTER/MULTIPLIER
25-258619,A-84162,VGA SPLITTER/MULTIPLIER
25-258620,A-84163,VGA SPLITTER/MULTIPLIER
